name,location,city,country,specialties,rating,accreditation,description,contact,coordinates,treatments,established,beds,website,phone,email,address,link
Best  Hospitals in  Germany,Email[email protected],Gurgaon,India,"['Urology', 'Cardiology', 'Orthopedics', 'Dermatology', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",0.0,,"Listing 42 Hospitals in Germany. Click on ""Show More"" at the bottom of the list to see more or use the filter to narrow your choice.",{'phone': '+91-9971616131'},,,1710,0,,,,Email[email protected],https://www.vaidam.com/hospitals/germany
Best Hospitals in India,Email[email protected],New Delhi,India,"['Urology', 'Cardiology', 'Orthopedics', 'Dermatology', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",0.0,,"Listing 498 Hospitals in India. Click on ""Show More"" at the bottom of the list to see more or use the filter to narrow your choice.",{'phone': '+91-9971616131'},,,1995,0,,,,Email[email protected],https://www.vaidam.com/hospitals/india
"Apollo Hospitals, Jubilee Hills Hyderabad",Email[email protected],Hyderabad,India,"['Urology', 'Cardiology', 'Orthopedics', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",4.1,,"About HospitalApollo Hospitals, located in Jubilee Hills and established in 1988, is the flagship facility of Asia's pioneering Apollo Health City. It is a world-renowned institution that has consistently set new benchmarks in Indian healthcare, including introducing the country's first PET-CT scanner and being among the first in the world to receive certification for stroke care.Internationally accredited by JCI and nationally by NABH and NABL, Apollo Jubilee Hills is a leader in clinical excellence, innovation, and patient-centric care.The hospital has received numerous awards and recognitions, including:Telangana Leadership Awards 2023: Recognised for Best Digital Healthcare, Multi-speciality, Customer Service & Quality Initiative.FICCI Healthcare Excellence Award in 2012.Recognised as a Premier Medical Tourism Hospital by the Government of India.Golden Peacock Award in 2004 for its pioneering work in telemedicine.The hospital is a pioneer in advanced therapies, leading with robot-assisted cardiac surgery, Proton Therapy, and CAR T-cell therapy. The Apollo Group holds an exceptional record of performing:Over 200,000+ Cardiac Surgeries (with a 99.6% success rate).Over 43,000+ Organ Transplants (Heart, Liver, Kidney), making it one of the busiest transplant programmes in the world.International Patient ServicesApollo Jubilee Hills is a preferred destination for international patients, offering comprehensive, end-to-end services to ensure a smooth and comfortable healthcare experience.Pre-arrival Consultation & Case Review:Patients can access online second opinions, video consultations, and receive a detailed treatment plan with cost estimates before travel.Visa & Travel Assistance:A dedicated team provides medical visa invitation letters and assists with travel arrangements and FRRO registration.Airport Pick-up/Drop-off:Complimentary airport transportation is arranged for patients and their attendants.Multilingual Interpreters:Professional interpreters are available to bridge any communication gap with the medical and administrative staff.Express Check-in, Dedicated Lounge & Personal Coordinators:A separate international lounge and dedicated relationship managers ensure fast-tracked admissions and personalised support throughout the stay.Assistance with Accommodation & Food Arrangements:The team helps with booking nearby hotels or serviced apartments and provides customised meal plans catering to international dietary preferences.",{'phone': '+91-9971616131'},,,1988,550,,,,Email[email protected],https://www.vaidam.com/hospitals/apollo-hospitals-hyderabad
Fortis Escorts Hospital New Delhi,Email[email protected],New Delhi,India,"['Urology', 'Cardiology', 'Orthopedics', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",4.5,,"About HospitalFortis Escorts Heart Institute (FEHI), a flagship hospital of the Fortis Healthcare group, is a globally renowned tertiary care hospital that has been a pioneer in cardiac care in India for over three decades. As Asia-Pacific’s largest private cardiac hospital, FEHI is nationally accredited by NABH and internationally by JCI.FEHI has a rich history of prestigious awards and pioneering medical achievements, including:Best Hospital in Cardiology by Times Healthcare Achievers, ICICI Lombard & CNBC TV18, The Week, and ET Healthcare Awards.Gold Award for Best Healthcare Delivery Brand.Excellence in Healthcare Award by AHPI and ABP Healthcare Leadership.Finest Single Speciality Hospital (Cardiology) at the India Healthcare Awards (2012).First in India to perform Transcatheter Aortic Valve Implantation (TAVI), Bioresorbable Vascular Scaffold (BVS), Directional Atherectomy, and Bioprosthetic Valve Replacement.Set a Guinness World Record for conducting the most cholesterol tests in 8 hours.The hospital holds an extensive record of procedural excellence, having performed:80,000+ CABG Surgeries53,000+ PTCAs (Angioplasties)18,000+ Congenital Heart Procedures173,000+ AngiographiesInternational Patient ServicesFEHI caters to a vast number of international patients from over 175 countries, offering a streamlined and supportive healthcare experience:Pre-arrival Consultation and Planning:Patients can receive tele- or online consultations, detailed treatment plans, and cost estimates before travelling.Visa & Travel Assistance:The dedicated team provides medical visa invitation letters and assists with travel and accommodation arrangements.Airport Pick-up/Drop-off:Complimentary transportation is arranged from the airport to ensure a smooth arrival and departure.Multilingual Interpreters:Professional interpreters are available to bridge communication gaps between patients and medical staff.Express Check-in & Personalised Care:A dedicated international lounge, fast-track admission, and personal coordinators ensure seamless service and support throughout the stay.Value-Added Services:Assistance with currency exchange, local SIM cards, and customised meal plans.",{'phone': '+91-9971616131'},,,1988,0,,,,Email[email protected],https://www.vaidam.com/hospitals/fortis-escorts-heart-institute-new-delhi
Best  Hospitals in  Turkey,Email[email protected],Gurgaon,India,"['Urology', 'Cardiology', 'Orthopedics', 'Dermatology', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",0.0,,"Listing 78 Hospitals in Turkey. Click on ""Show More"" at the bottom of the list to see more or use the filter to narrow your choice.",{'phone': '+91-9971616131'},,,2017,300,,,,Email[email protected],https://www.vaidam.com/hospitals/turkey
Best Hospitals in India,Email[email protected],New Delhi,India,"['Urology', 'Cardiology', 'Orthopedics', 'Dermatology', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",0.0,,"Listing 498 Hospitals in India. Click on ""Show More"" at the bottom of the list to see more or use the filter to narrow your choice.",{'phone': '+91-9971616131'},,,1995,0,,,,Email[email protected],https://www.vaidam.com/hospitals/appliedExpFilter
Best  Hospitals in  Thailand,Email[email protected],Gurgaon,India,"['Urology', 'Cardiology', 'Orthopedics', 'Dermatology', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",0.0,,"Listing 48 Hospitals in Thailand. Click on ""Show More"" at the bottom of the list to see more or use the filter to narrow your choice.",{'phone': '+91-9971616131'},,,1980,0,,,,Email[email protected],https://www.vaidam.com/hospitals/thailand
Artemis Hospital Gurgaon,Email[email protected],New Delhi,India,"['Urology', 'Cardiology', 'Orthopedics', 'Dermatology', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",4.9,,"About HospitalArtemis Hospital is a leading healthcare institution in Gurgaon, established in 2007, known for its cutting-edge technology, world-class infrastructure, and top-notch patient care.It was the first hospital in Gurgaon to receive Joint Commission International (JCI) and the National Accreditation Board for Hospitals and Healthcare Providers(NABH) accreditation.Artemis Hospital has been honored with numerous prestigious awards, including:First position in CII National HR Circle Competition by Confederation of Indian Industry for Innovative Leadership during Crisis in 2020.Best Bone Marrow Transplant Centre in North India award at India’s Most Trusted Healthcare Awards 2019.FICCI Healthcare Excellence Award for Service Excellence in 2018.Best Multi-Specialty Hospital in Delhi NCR at the Health Care Awards 2018.Indian Excellence Award for Best Hospital in Quality Treatment at the State Health Awards 2017.Best Super-Specialty Hospital in Delhi NCR at the Indian Excellence Awards 2017.Patient Safety Award at the International Patient Safety Conference 2016.Best Super Speciality Hospital in Gurgaon in 2013.Asia Pacific Hand Hygiene Excellence Award by WHO in 2011.International Patient ServicesArtemis Hospital attracts patients from over 70+ countries, and to ensure a smooth and comfortable experience, the hospital offers specialised international services such as:Medical Visa Assistance:Expert support for visa applications, documentation, and approvals.Air Ambulance & Transportation:Safe patient transport, including air ambulance services and airport transfers.Language Interpretation Services:Multi-language interpreters for effective communication with medical staff.Accommodation & Travel Assistance:Help with booking hotels, guest houses, and local transport for patient companions.",{'phone': '+91-9971616131'},,,2007,0,,,,Email[email protected],https://www.vaidam.com/hospitals/artemis-hospital-gurgaon
Kokilaben Dhirubhai Ambani Hospital Mumbai,Email[email protected],Mumbai,India,"['Urology', 'Cardiology', 'Orthopedics', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",3.5,,"About HospitalKokilaben Dhirubhai Ambani Hospital, one of the most modern and state-of-the-art multi-speciality tertiary care hospitals in Mumbai, was launched in 2008 by Reliance Group.It is the only hospital in Mumbai with all four renowned accreditations, including the National Accreditation Board for Hospitals & Healthcare Providers (NABH), National Accreditation Board for Testing and Calibration Laboratories (NABL), India, Joint Commission International (JCI), and College of American Pathology (CAP), USA.It is the only Indian hospital to perform the fastest 1000 robotic surgeries within 48 months of launch and overall over 3615 robotic surgeries.The hospital has established 18 advanced cancer care centres which have performed over 21022 complex cancer surgeries with excellent outcomes.The hospital has received the following awards:FE Healthcare Awards 2024Winner of the Organizational Report Competition during Quality Month 2023No. 1 Multispeciality Hospital in Mumbai and Western IndiaBest Multispeciality Hospital in Mumbai Award at the Navbharat Healthcare Awards 2023Hospital of the Year 2023 - Multispeciality, National AwardRanked No. 1 Multispecialty Hospital in Mumbai and Western India by The Week Magazine - 7th year in a rowBest Multispeciality Hospital of Western India 2022FE Best Hospital Awards 2022 for excellence in Multispeciality, Oncology, Orthopaedics and NeurologyUnivants of Healthcare Excellence Certificate of Achievement 2021Trusted Hospital in Mumbai 2021 awardBest Multispeciality Hospital in Mumbai award at the Nava Bharat Healthcare Awards 2021Best Multispeciality Hospital Western Region Award at ET Health Awards 2021Univants of Healthcare Excellence 2020 Certificate of AchievementBest Multispeciality Hospital - National, Best Hospital for Oncology and Diabetology - Western India at ET Healthworld Hospital Awards 2020Reader's Digest Most Trusted Hospital awardBest Multispeciality Hospital Award 2018Centre for Excellence Award for Neurology at the India Healthcare and Wellness AwardsExcellence in Multispecialty Hospital Award at the India Today Excellence Healthcare Awards 2018Reader's Digest's Trusted Hospital Award 2017 for OncologyBest Multispecialty Hospital at BW Businessworld Healthcare & Summit Awards on 29th June 2016One of the Reader's Digest Trusted Hospitals, 2016Smartest Hospital Building by HoneywellInternational Patient Services -The hospital offers specialised services for patients from around the world, guaranteeing them a pleasant and comfortable experience during their visit.It was amongst the first hospitals in India to accept international patients, with COVID-related protocols in practice for doctors, support staff, patients, and relatives.",{'phone': '+91-9971616131'},,,2008,0,,,,Email[email protected],https://www.vaidam.com/hospitals/kokilaben-dhirubhai-ambani-hospital-mumbai
Manipal Hospital (Old Airport Road) Bangalore,Email[email protected],Bangalore,India,"['Urology', 'Cardiology', 'Orthopedics', 'Gynecology', 'Oncology', 'Gastroenterology', 'Surgery', 'Pediatrics', 'Neurology']",3.7,,"About HospitalManipal Hospital on Old Airport Road, established in 1991, is Manipal Hospitals' flagship quaternary care hospital and a cornerstone of the prestigious Manipal Education & Medical Group (MEMG). As one of South India's leading multi-speciality hospitals, it provides comprehensive, world-class treatment in more than 60 disciplines.The hospital is renowned for its commitment to clinical excellence, compassionate patient care, and ethical practices, earning it national acclaim as one of India's most caring and trustworthy healthcare facilities.Awards & Recognitions: Manipal Hospital has consistently been recognised for its high standards of care and clinical outcomes:Best Hospital in Bangalore by The Week Magazine (awarded multiple times).Consistently ranked among the Top 5 in India's Most Caring Hospitals survey.Accredited by AAHRPP (Association for the Accreditation of Human Research Protection Programmes) for upholding the highest ethical standards in clinical research.The hospital is a leader in advanced medical care and has achieved numerous clinical milestones:Pioneer in Quaternary Care:Delivers highly specialised treatments across 60+ specialities, including advanced oncology assisted by IBM Watson, complex multi-organ transplants, and high-risk cardiac procedures.Leading Transplant Centre:An established and leading centre for Multi-Organ Transplants, with comprehensive programmes for kidney, liver, and heart transplants.Advanced Paediatric & Neonatal Care:Features dedicated to Paediatric Intensive Care (PICU) and Neonatal Intensive Care (NICU) units, providing critical care for the youngest patients.International Patient ServicesAs a major destination for medical tourism, Manipal Hospital offers end-to-end support for international patients:Pre-arrival Consultation and Treatment Planning:Offers teleconsultations with specialists to provide a clear treatment plan and cost estimates prior to travel.Visa & Travel Assistance:Provides medical visa invitation letters and assists with travel arrangements.Airport Pick-up/Drop-off:Arrange transportation to and from the airport as needed.Multilingual Interpreters:Offers language support to ensure seamless communication between patients and the medical team.Express Check-in & Dedicated Coordinators:Ensures fast-tracked admission and personalised guidance through a dedicated international patient lounge and coordinators.Assistance with Accommodation & Food Arrangements:Helps patients and their families find suitable lodging and arranges customised meals.",{'phone': '+91-9971616131'},,,1991,0,,,,Email[email protected],https://www.vaidam.com/hospitals/manipal-hospital-bangalore
