name,url,location,city,phone,specialties,scraped_at
Best Neurosurgery Hospitals in New Delhi | Top Neurology Clinics,https://www.vaidam.com/hospitals/neurology-and-neurosurgery/india/new-delhi,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:26
Best Heart Hospitals in Istanbul - Affordable Cardiology Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/turkey/istanbul,Turkey,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:27
Best Cosmetic and Plastic Surgery Hospitals in New Delhi,https://www.vaidam.com/hospitals/cosmetic-and-plastic-surgery/india/new-delhi,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:29
"Songkhla Hospital, Songkhla Doctor List, Address",https://www.vaidam.com/hospital/songkhla-hospital-songkhla,,Mumbai,,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:31
Top Hematology Hospitals in Dubai | Advanced & Affordable Care,https://www.vaidam.com/hospitals/hematology/united-arab-emirates/dubai,United Arab Emirates       Established in 2013,Delhi,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:34
Top 10 Best Spine Surgery Hospitals in Dubai,https://www.vaidam.com/hospitals/spine-surgery/united-arab-emirates/dubai,United Arab Emirates       NMC Specialty Hospital,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:37
Best Heart Hospitals in Dubai - Affordable Cardiology Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/united-arab-emirates/dubai,United Arab Emirates       Established in 1840 in,Gurgaon,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:52:44
Best Cosmetic and Plastic Surgery Hospitals in Gurgaon,https://www.vaidam.com/hospitals/cosmetic-and-plastic-surgery/india/gurgaon,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:06
Top Hematology Hospitals in New Delhi | Advanced & Affordable Care,https://www.vaidam.com/hospitals/hematology/india/new-delhi,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:07
Best Cancer Hospitals in Chennai - Top Oncology Clinics,https://www.vaidam.com/hospitals/oncology-and-oncosurgery/india/chennai,India,Mumbai,+91-9971616131,"['Cardiology', 'Oncology', 'Orthopedics', 'Neurology', 'Surgery']",2025-07-31 23:53:31
