name,url,location,city,state,address,phone,email,website,specialties,services,facilities,description,rating,established_year,bed_count,accreditations,country,scraped_at
Orthopedics Hospitals,https://www.vaidam.com/hospitals/orthopedics/india/vijayawada,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Rehabilitation', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Minimally Invasive Surgery', 'Nephrology', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Lab', 'Icu']","['Atm', 'Ac']","I visited India for my hip replacement through Vaidam, who arranged my treatment with Artemis Hospital. They know what a patient needs. Thank you very much Highly recommended",0.0,0,0,['JCI'],India,2025-08-01 05:35:48
Neurology And Neurosurgery Hospitals,https://www.vaidam.com/hospitals/neurology-and-neurosurgery/india/chandigarh,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Rehabilitation', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Obstetrics', 'Neurosurgery', 'Dermatology', 'Pain Management', 'Intensive Care', 'Oncology', 'Ent', 'Nephrology', 'Physiotherapy', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Intensive Care', 'Mri', 'Icu', 'Physiotherapy']","['Guest House', 'Atm', 'Ac', 'Accommodation']","We came to Amrita Hospital, India, for my wife’s brain tumour surgery. Dr. Anand and the team were excellent. Vaidam handled everything & We’re truly grateful for the care and support!",0.0,2000,0,"['NABH', 'ACCREDITED', 'JCI', 'NABL']",India,2025-08-01 05:35:49
Hematology Hospitals,https://www.vaidam.com/hospitals/hematology/india/nellore,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Nephrology', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Mri', 'Icu']","['Bank', 'Atm', 'Ac']","I visited Fortis Hospital for my wife's Bone marrow transplant, and we are happy with the treatment. Everything was good, and we did not face any problems there. Thanks.",0.0,0,0,['JCI'],India,2025-08-01 05:36:06
Gynecology Hospitals,https://www.vaidam.com/hospitals/gynecology/india/gandhinagar,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Nephrology', 'Physiotherapy', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Physiotherapy', 'Icu']","['Atm', 'Ac']","I went to Artemis Hospital, for my bleeding disorder treatment and they treated me well, without any surgery. Grateful to them!",0.0,0,0,['JCI'],India,2025-08-01 05:36:07
Spine Surgery Hospitals,https://www.vaidam.com/hospitals/spine-surgery/india/vijayawada,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Rehabilitation', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Nephrology', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Icu']","['Atm', 'Ac']",I am extremely grateful to Fortis Hospital for the successful spine surgery I underwent in India. Thank you for your exceptional care and expertise.,0.0,0,0,['JCI'],India,2025-08-01 05:36:23
Cardiology And Cardiac Surgery Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/india/siliguri,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Rehabilitation', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Nephrology', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Icu']","['Atm', 'Ac', 'Accommodation']","After discovering that our baby had a heart defect, we reached out to Marengo Asia Hospital. The surgery was successful, and our baby is recovering well.",0.0,1976,0,['JCI'],India,2025-08-01 05:36:25
Orthopedics Hospitals,https://www.vaidam.com/hospitals/orthopedics/india/aurangabad,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Rehabilitation', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Minimally Invasive Surgery', 'Nephrology', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Lab', 'Icu']","['Atm', 'Ac']","I visited India for my hip replacement through Vaidam, who arranged my treatment with Artemis Hospital. They know what a patient needs. Thank you very much Highly recommended",0.0,0,0,['JCI'],India,2025-08-01 05:36:26
Cardiology And Cardiac Surgery Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/india/delhi,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Rehabilitation', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Nephrology', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Echo', 'Lab', 'Icu']","['Atm', 'Ac', 'Accommodation']","Listing 21 Hospitals in Delhi. Click on ""Show More"" at the bottom of the list to see more or use the filter to narrow your choice.",0.0,1995,0,"['NABH', 'JCI', 'NABL']",India,2025-08-01 05:36:28
Transplant Surgery Hospitals,https://www.vaidam.com/hospitals/transplant-surgery/india/lucknow,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Nephrology', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Icu']","['Atm', 'Ac']","I am grateful to the team at Apollo Hospital for their cooperation, as my son's kidney transplant was successful. Thankyou!",0.0,0,0,['JCI'],India,2025-08-01 05:36:54
Cardiology And Cardiac Surgery Hospitals,https://www.vaidam.com/hospitals/cardiology-and-cardiac-surgery/india/kolkata,Email[email protected],Mumbai,Haryana,,+91-9971616131,,https://www.youtube.com/channel/UCHh2QDCBr0IxT67L_uyr5IQ/playlists,"['Cancer Treatment', 'Rheumatology', 'Pediatrics', 'Gastroenterology', 'Pulmonology', 'Rehabilitation', 'Orthopedics', 'Urology', 'Endocrinology', 'Plastic Surgery', 'Orthopedic Surgery', 'Cardiac Surgery', 'Neurosurgery', 'Dermatology', 'Oncology', 'Ent', 'Nephrology', 'Gynecology', 'Neurology', 'Cardiology', 'Cosmetic Surgery', 'General Surgery']","['Ot', 'Diagnostic Center', 'Mri', 'Icu']","['Atm', 'Ac', 'Accommodation']","After discovering that our baby had a heart defect, we reached out to Marengo Asia Hospital. The surgery was successful, and our baby is recovering well.",0.0,2010,0,"['NABH', 'ACCREDITED', 'JCI', 'NABL']",India,2025-08-01 05:36:56
